,Training episodes,Reward
870,174200,-6701.850458146506
871,174400,-6702.159116517205
872,174600,-6701.417761963764
873,174800,-6703.156709571012
874,175000,-6704.42989890681
875,175200,-6706.828606625448
876,175400,-6708.458197800359
877,175600,-6709.477183240288
878,175800,-6710.27955909223
879,176000,-6710.780834773784
880,176200,-6710.726230319027
881,176400,-6708.791296755222
882,176600,-6707.494443654177
883,176800,-6706.446804923342
884,177000,-6704.8647876886735
885,177200,-6703.316986400939
886,177400,-6703.351089120752
887,177600,-6702.761652546601
888,177800,-6702.243540787281
889,178000,-6702.025926379824
890,178200,-6701.664022353859
891,178400,-6701.262155383087
892,178600,-6700.8537868064695
893,178800,-6700.454748195176
894,179000,-6698.36411105614
895,179200,-6696.750663844912
896,179400,-6694.24631232593
897,179600,-6690.658768610745
898,179800,-6689.5210773885965
899,180000,-6687.734205660878
900,180200,-6686.134708278702
901,180400,-6685.148704122962
902,180600,-6682.694588298369
903,180800,-6680.649889388696
904,181000,-6679.922880260957
905,181200,-6680.014241708765
906,181400,-6677.929362117013
907,181600,-6676.82052094361
908,181800,-6676.399073004888
909,182000,-6675.388477153911
910,182200,-6675.637187973129
911,182400,-6676.535375378504
912,182600,-6677.2753315528025
913,182800,-6677.213077742243
914,183000,-6678.346243443794
915,183200,-6679.410432255036
916,183400,-6678.113502054028
917,183600,-6677.295489143223
918,183800,-6676.3695163145785
919,184000,-6676.211394301663
920,184200,-6675.37864669133
921,184400,-6673.811042353063
922,184600,-6673.5271151324505
923,184800,-6671.640129605961
924,185000,-6671.520697434769
925,185200,-6671.700307947815
926,185400,-6672.992590108252
927,185600,-6670.907822086602
928,185800,-6670.873913919282
929,186000,-6671.080693635426
930,186200,-6671.471898658341
931,186400,-6669.920331426673
932,186600,-6669.676265141339
933,186800,-6669.456480863071
934,187000,-6668.868153440457
935,187200,-6669.247804002366
936,187400,-6668.559180701893
937,187600,-6668.279063311515
938,187800,-6667.8996568992125
939,188000,-6667.4422255193695
940,188200,-6667.158311665496
941,188400,-6666.688993082396
942,188600,-6666.330256965917
943,188800,-6666.418424322734
944,189000,-6666.988958208187
945,189200,-6666.976322816549
946,189400,-6667.066995753239
947,189600,-6667.885471602591
948,189800,-6668.013533532073
949,190000,-6669.375826825659
950,190200,-6669.846755210527
951,190400,-6669.879279168422
952,190600,-6670.128423334737
953,190800,-6671.608207417789
954,191000,-6673.305628434231
955,191200,-6674.8641902473855
956,191400,-6675.666977197909
957,191600,-6675.907956758327
958,191800,-6675.4544904066615
959,192000,-6674.495936075329
960,192200,-6675.313623860264
961,192400,-6675.523086588211
962,192600,-6676.530969270569
963,192800,-6676.864150416455
964,193000,-6677.522882833164
965,193200,-6678.051118766531
966,193400,-6679.140426263224
967,193600,-6679.54749726058
968,193800,-6680.397685308464
969,194000,-6680.387835746771
970,194200,-6679.909174847417
971,194400,-6679.9109336279325
972,194600,-6679.710621902346
973,194800,-6679.7042787718765
974,195000,-6679.844048017501
975,195200,-6679.476488414001
976,195400,-6678.845096981202
977,195600,-6679.340140084962
978,195800,-6678.89695581797
979,196000,-6679.211002154376
980,196200,-6681.7375517235005
981,196400,-6685.0041038788
982,196600,-6687.05672060304
983,196800,-6686.970376482433
984,197000,-6687.897394935946
985,197200,-6689.719634698757
986,197400,-6690.233520259006
987,197600,-6690.496816207205
988,197800,-6691.428546715764
989,198000,-6692.026274872612
990,198200,-6692.987738648089
